Notas de mi asignatura
Curso actual

Alumno,Repetidor?,Examen 1,Examen 2,Examen 3
Ana,False,5.9,6.4,6.2
Blanca,False,7.6,5.7,8.0
Carlos,True,3.0,2.8,-1.0
David,False,9.4,8.9,9.5
Elena,True,6.0,4.8,6.9
Felipe,True,7.2,-1.0,2.1
Guillermo,False,-1.0,8.5,6.3
Héctor,False,4.1,4.6,0.6
Inés,False,2.7,-1.0,5.6
Julia,False,7.2,7.0,-1.0
Lucía,False,7.1,9.0,8.0
Miguel,True,0.4,-1.0,7.7
Noelia,False,9.4,-1.0,4.9
Òscar,True,6.1,5.9,8.2
Pablo,True,6.8,2.2,9.1
Rocío,False,-1.0,8.0,9.9
Silvia,True,9.3,5.2,-1.0
Tomás,True,4.0,4.0,2.5
Ulises,True,2.1,8.3,9.7
Víctor,True,0.6,9.2,5.1
Zacarías,True,0.1,6.4,7.2
