Alumno,Repetidor?,Examen 1,Examen 2,Examen 3,Nota final
Ana,False,5.9,6.4,6.2,6.2
Blanca,False,7.6,5.7,8.0,7.1
Carlos,True,3.0,2.8,-1,1.9
David,False,9.4,8.9,9.5,9.3
Elena,True,6.0,4.8,6.9,5.9
Felipe,True,7.2,-1,2.1,3.1
Guillermo,False,-1,8.5,6.3,4.9
Héctor,False,4.1,4.6,0.6,3.1
Inés,False,2.7,-1,5.6,2.8
Julia,False,7.2,7.0,-1,4.7
Lucía,False,7.1,9.0,8.0,8.0
Miguel,True,0.4,-1,7.7,2.7
Noelia,False,9.4,-1,4.9,4.8
Òscar,True,6.1,5.9,8.2,6.7
Pablo,True,6.8,2.2,9.1,6.0
Rocío,False,-1,8.0,9.9,6.0
Silvia,True,9.3,5.2,-1,4.8
Tomás,True,4.0,4.0,2.5,3.5
Ulises,True,2.1,8.3,9.7,6.7
Víctor,True,0.6,9.2,5.1,5.0
Zacarías,True,0.1,6.4,7.2,4.6
